Feature,weight,gain,cover,total_gain,total_cover
available_quantity,497.0,7.648464202880859,984.6199951171875,3801.28662109375,489356.125
avg_gmv_item_domain_30days,261.0,7.841591835021973,722.5565185546875,2046.655517578125,188587.25
avg_gmv_item_sel,292.0,6.536434173583984,432.1099548339844,1908.6387939453125,126176.109375
avg_gmv_seller_bday,257.0,6.334590911865234,524.6568603515625,1627.9898681640625,134836.8125
avg_qty_orders_item_domain_30days,350.0,9.150103569030762,865.522705078125,3202.536376953125,302932.9375
avg_qty_orders_item_sel_30days,339.0,7.737399101257324,615.9956665039062,2622.978271484375,208822.53125
avg_si_item_sel_30day,238.0,5.914529800415039,372.97039794921875,1407.6580810546875,88766.953125
boosted,0.0,0.0,0.0,0.0,0.0
free_shipping,56.0,17.753145217895508,3192.592041015625,994.1761474609375,178785.15625
fulfillment,20.0,8.014261245727539,582.1295776367188,160.28521728515625,11642.591796875
health,113.0,6.753161907196045,624.4188842773438,763.1072998046875,70559.3359375
is_pdp,227.0,770.6903076171875,10377.0712890625,174946.703125,2355595.25
offset,253.0,99.71309661865234,4563.77197265625,25227.4140625,1154634.25
original_price,224.0,10.706852912902832,1151.9696044921875,2398.3349609375,258041.203125
price,417.0,11.08170223236084,1802.002685546875,4621.06982421875,751435.125
print_position,792.0,45.1744499206543,1922.78564453125,35778.1640625,1522846.25
qty_items_dom,162.0,5.610947608947754,306.73016357421875,908.9735107421875,49690.28515625
qty_items_sel,205.0,6.736105442047119,512.6419067382812,1380.901611328125,105091.5859375
sold_quantity,424.0,5.09149169921875,357.9366149902344,2158.79248046875,151765.125
total_asp_item_domain_30days,312.0,7.389628887176514,721.3651733398438,2305.564208984375,225065.9375
total_asp_item_sel_30days,275.0,5.886418342590332,452.4848937988281,1618.7650146484375,124433.34375
total_gmv_domain_bday,193.0,6.764506816864014,567.5144653320312,1305.5498046875,109530.296875
total_gmv_item_30days,332.0,10.313993453979492,741.619384765625,3424.245849609375,246217.640625
total_items_domain,169.0,5.974693775177002,375.045166015625,1009.7232666015625,63382.6328125
total_items_seller,195.0,6.009202003479004,388.82110595703125,1171.79443359375,75820.1171875
total_orders_domain_30days,228.0,8.818449974060059,913.0369873046875,2010.606689453125,208172.4375
total_orders_item_30days,509.0,30.676189422607422,2353.673828125,15614.1806640625,1198020.0
total_orders_sel_30days,183.0,6.251716136932373,750.4629516601562,1144.0640869140625,137334.71875
total_si_domain_30days,238.0,7.998711109161377,891.2510375976562,1903.6932373046875,212117.75
total_si_item_30days,262.0,14.921241760253906,1139.164306640625,3909.365234375,298461.0625
total_si_sel_30days,195.0,6.408275127410889,559.46923828125,1249.6136474609375,109096.5
total_visits_domain,193.0,7.04872989654541,750.4811401367188,1360.4049072265625,144842.859375
total_visits_item,378.0,11.484042167663574,1268.156982421875,4340.9677734375,479363.34375
total_visits_seller,219.0,6.511765956878662,623.28466796875,1426.0767822265625,136499.34375
warranty,6.0,8.300992012023926,940.8771362304688,49.80595397949219,5645.2626953125
discount_%,345.0,11.656110763549805,1891.260498046875,4021.358154296875,652484.875
good_quality_picture,6.0,20.06241226196289,1114.1917724609375,120.37447357177734,6685.15087890625
good_quality_thumbnail,28.0,9.775206565856934,2552.286376953125,273.7057800292969,71464.015625
today_promotion,26.0,6.240228652954102,366.60797119140625,162.24594116210938,9531.8076171875
brand_verified,2.0,8.704090118408203,995.044921875,17.408180236816406,1990.08984375
extended_warranty_eligible,28.0,19.337871551513672,2456.296875,541.4603881835938,68776.3125
immediate_payment,0.0,0.0,0.0,0.0,0.0
cart_eligible,9.0,12.788779258728027,857.4725341796875,115.09901428222656,7717.2529296875
incomplete_technical_specs,17.0,22.03423500061035,2556.122802734375,374.5820007324219,43454.0859375
loyalty_discount_eligible,9.0,5.5338873863220215,552.110107421875,49.80498504638672,4968.99072265625
deal_of_the_day,14.0,7.150811672210693,547.8322143554688,100.11136627197266,7669.6513671875
dragged_bids_and_visits,1.0,10.436327934265137,1765.5513916015625,10.436327934265137,1765.5513916015625
lightning_deal,2.0,7.82358455657959,1064.5074462890625,15.64716911315918,2129.014892578125
poor_quality_picture,4.0,11.14093017578125,2357.264892578125,44.563720703125,9429.0595703125
ahora-12,69.0,14.894159317016602,2474.964111328125,1027.697021484375,170772.53125
catalog_listing_eligible,9.0,8.655882835388184,1053.8377685546875,77.90294647216797,9484.5400390625
poor_quality_thumbnail,4.0,9.037325859069824,785.44384765625,36.1493034362793,3141.775390625
supermarket_eligible,0.0,0.0,0.0,0.0,0.0
under_infractions,2.0,3.2373046875,3808.073486328125,6.474609375,7616.14697265625
month,11.0,8.913208961486816,208.56019592285156,98.04530334472656,2294.162109375
day,260.0,7.798846244812012,1170.5224609375,2027.7000732421875,304335.84375
day_of_week,188.0,8.59631061553955,1737.7357177734375,1616.1064453125,326694.3125
hour,563.0,9.047367095947266,1530.739501953125,5093.66748046875,861806.3125
minute,554.0,4.279511451721191,294.6411437988281,2370.849365234375,163231.1875
second,474.0,3.862168550491333,194.0020294189453,1830.6678466796875,91956.9609375
category_first_Accesorios para Vehículos,3.0,6.340014934539795,312.7353210449219,19.020044326782227,938.2059326171875
category_first_Agro,0.0,0.0,0.0,0.0,0.0
category_first_Alimentos y Bebidas,5.0,16.83457374572754,2922.19482421875,84.17286682128906,14610.9736328125
category_first_Animales y Mascotas,0.0,0.0,0.0,0.0,0.0
category_first_Antigüedades y Colecciones,0.0,0.0,0.0,0.0,0.0
"category_first_Arte, Librería y Mercería",0.0,0.0,0.0,0.0,0.0
category_first_Bebés,2.0,6.687652587890625,1161.26318359375,13.37530517578125,2322.5263671875
category_first_Belleza y Cuidado Personal,11.0,8.864056587219238,872.727783203125,97.50462341308594,9600.005859375
category_first_Celulares y Telefonía,0.0,0.0,0.0,0.0,0.0
category_first_Celulares y Teléfonos,3.0,5.848643779754639,208.3103485107422,17.545930862426758,624.9310302734375
category_first_Computación,2.0,17.183473587036133,6471.0498046875,34.366947174072266,12942.099609375
category_first_Consolas y Videojuegos,8.0,11.002629280090332,1453.107421875,88.02103424072266,11624.859375
category_first_Cámaras y Accesorios,0.0,0.0,0.0,0.0,0.0
category_first_Deportes y Fitness,8.0,7.444425106048584,2921.8974609375,59.55540084838867,23375.1796875
category_first_Electrodomésticos,0.0,0.0,0.0,0.0,0.0
category_first_Electrodomésticos y Aires Ac.,4.0,15.675621032714844,1007.3145751953125,62.702484130859375,4029.25830078125
"category_first_Electrónica, Audio y Video",20.0,27.31094741821289,2657.426025390625,546.2189331054688,53148.51953125
category_first_Eletrodomésticos,0.0,0.0,0.0,0.0,0.0
category_first_Esportes e Fitness,0.0,0.0,0.0,0.0,0.0
