,Feature,Importance
169,category_last_Alimento,0.0
170,category_last_Alimentos de Juguete,0.0
171,category_last_All In One,0.0
172,category_last_Almohadas,0.0027858657
173,category_last_Almohadas para Viaje,0.0
174,category_last_Almohadillas Relajantes,0.0
175,category_last_Almohadillas Térmicas,0.0
176,category_last_Almohadones,0.0
177,category_last_Almohadones de Maternidad,0.0
178,category_last_Alpargatas,0.0
179,category_last_Amasadoras,0.0
180,category_last_Ambos Médicos,0.0
181,category_last_Amoladoras,0.0
182,category_last_Amperímetros,0.0
183,category_last_Amplificadores,0.0
184,category_last_Amplificadores de Audio,0.0
185,category_last_Anafes,0.0
186,category_last_Anafes Portátiles,0.0
187,category_last_Anclas,0.0
188,category_last_Andadores y Caminadores,0.0
189,category_last_Anilinas,0.0
190,category_last_Anillos,0.0
191,category_last_Anillos para Celulares,0.0
192,category_last_Antenas Wireless,0.0
193,category_last_Antenas de TV,0.0
194,category_last_Antenas para Walkie-Talkies,0.0
195,category_last_Anteojos,0.0
196,category_last_Anteojos de Sol,0.0
197,category_last_Antideslizantes para Bañera,0.0
198,category_last_Antiparras,0.0
199,category_last_Antiparras y Snorkels,0.0
200,category_last_Antirrobos de Ruedas,0.0
201,category_last_Anzuelos,0.0
202,category_last_Aparadores y Vajilleros,0.0
203,category_last_Aparatos Repelentes,0.0
204,category_last_Aparatos para Abdominales,0.0
205,category_last_Aparejos Eléctricos,0.0
206,category_last_Aparejos Manuales,0.0
207,category_last_Apoya Celulares,0.0
208,category_last_Arcos,0.0
209,category_last_Arcos y Flechas,0.0
210,category_last_Arduino,0.0
211,category_last_Arenadoras,0.0
212,category_last_Armarios para Lavadero,0.0
213,category_last_Armónicas,0.0
214,category_last_Arneses y Pretales,0.0
215,category_last_Aromatizadores,0.0
216,category_last_Aromatizadores y Purificadores,0.0
217,category_last_Aros,0.0
218,category_last_Aros de Baño,0.0
219,category_last_Aros y Tableros,0.0
220,category_last_Arroceras,0.0
221,category_last_Arroz,0.0
222,category_last_Artefactos de Iluminación,0.0
223,category_last_Asientos,0.0
224,category_last_Asientos Masajeadores,0.0
225,category_last_Asientos de Kayaks,0.0
226,category_last_Aspersores,0.0
227,category_last_Aspiradoras,0.0
228,category_last_Aspiradoras Robot,0.0
229,category_last_Aspiradores Nasales,0.0
230,category_last_Atornillador y Destornillador,0.0070449435
231,category_last_Atriles,0.0
232,category_last_Audífonos,0.0
233,category_last_Auriculares,0.009287831
234,category_last_Auriculares y Manos Libres,0.0
235,category_last_Autobronceantes,0.0
236,category_last_Automodelismo,0.0
237,category_last_Autos a Batería,0.0
238,category_last_Autos de Juguete,0.0
239,category_last_Azadas,0.0
240,category_last_Azúcar,0.0
241,category_last_BB Cream,0.0
242,category_last_Baberos para Comer,0.0
243,category_last_Babitas,0.0
244,category_last_Baby Calls,0.0
245,category_last_Bachas de Cocina,0.0
246,category_last_Bachas para Baño,0.0
247,category_last_Bajo Mesadas,0.0
248,category_last_Bajos,0.0
249,category_last_Balanzas Comerciales,0.0
250,category_last_Balanzas de Baño,0.0024126666
251,category_last_Balanzas de Cocina,0.0
252,category_last_Balanzas de Precisión,0.0
253,category_last_Balanzas para Valijas,0.0
254,"category_last_Baldes, Palanganas y Fuentones",0.005425905
255,category_last_Baldosas de Cemento,0.0
256,category_last_Balines,0.0
257,category_last_Balizas,0.0
258,category_last_Banco de Trabajo,0.0
259,category_last_Bancos,0.0
260,category_last_Bancos y Banquetas,0.0
261,category_last_Bandas Depilatorias,0.0
262,category_last_Bandas Elásticas,0.0
263,category_last_Bandas de Suspensión,0.0
264,category_last_Bandas para Cintas de Correr,0.0
265,category_last_Bandejas,0.0
266,category_last_Bandejas Portapapeles,0.0
267,"category_last_Bandejas, Asaderas y Fuentes",0.0
268,category_last_Banderas,0.0
269,category_last_Banderines,0.0
270,category_last_Banderines y Guirnaldas,0.0
271,category_last_Banquetas,0.0
272,category_last_Barandas,0.0
273,category_last_Barbijos,0.0
274,category_last_Barbijos Antipolvo,0.0
275,category_last_Barcos Antiguos y Fragatas,0.0
276,category_last_Barrales Antipánico,0.0
277,category_last_Barrales de Suspensión,0.0
278,category_last_Barrales para Cortinas,0.0
279,category_last_Barras LED,0.0
280,category_last_Barras Push Up,0.0
281,category_last_Barras de Cereal,0.0
282,category_last_Barras de Silicona,0.0
283,category_last_Barras para Dominadas,0.0
284,category_last_Barre Migas,0.0
285,category_last_Barrefondos,0.0
286,category_last_Barretas,0.0
287,category_last_Barriletes - Cometas,0.0
288,category_last_Bases,0.0
289,category_last_Bases de Maquillaje,0.0
290,category_last_Bases para Butacas,0.0
291,category_last_Bases para Sommiers,0.0
292,category_last_Bastones,0.0
293,category_last_Batas,0.0
294,category_last_Batas de Baño,0.0
295,category_last_Baterías,0.0
296,category_last_Baterías Acústicas,0.0
297,category_last_Baterías Completas,0.0
298,category_last_Baterías para Cámaras,0.0
299,category_last_Bates,0.0
300,category_last_Batidoras,0.0
301,category_last_Batidores Manuales,0.0
302,category_last_Batidores de Pintura,0.0
303,category_last_Bañeras para Bebés,0.0
304,category_last_Baúles Porta Cascos,0.0
305,category_last_Baúles para Delivery,0.0
306,category_last_Bebederos,0.0
307,category_last_Bebidas Alcohólicas Preparadas,0.0
308,category_last_Bebidas Aperitivos,0.0
309,category_last_Bebidas Energizantes,0.0
310,category_last_Bencina,0.0
311,category_last_Bermudas y Shorts,0.0
312,"category_last_Bermudas, Boxers y Zungas",0.0
313,"category_last_Bermudas, Sungas y Shorts",0.0
314,category_last_Bibliotecas y Estanterías,0.0
315,category_last_Bicicletas,0.0
316,category_last_Bicicletas Fijas,0.0
317,category_last_Bidets,0.0
318,category_last_Bielas,0.0
319,category_last_Bieletas,0.0
320,category_last_Biferas,0.0
321,category_last_Billeteras,0.0
322,category_last_Binoculares,0.0
323,category_last_Biombos,0.0
324,category_last_Bisagras,0.0
325,category_last_Bisagras de Capot,0.0
326,category_last_Blanqueador Dental,0.0
327,category_last_Bloqueras,0.0
328,category_last_Bloques y Construcción,0.0
329,category_last_Blusas,0.0
330,category_last_Bochas,0.0
331,category_last_Bochas y Fundas para Palancas,0.0
332,category_last_Bodyboard,0.0
333,category_last_Bodys,0.0
334,category_last_Bolas Espejadas,0.0
335,category_last_Bolitas de Gel,0.0
336,category_last_Bolsas,0.0
