Feature,weight,gain,cover,total_gain,total_cover
category_first_Accesorios para Vehículos,3.0,8.051518440246582,902.2890014648438,24.154556274414062,2706.866943359375
category_first_Agro,0.0,0.0,0.0,0.0,0.0
category_first_Alimentos y Bebidas,6.0,17.335693359375,2025.9417724609375,104.01416015625,12155.650390625
category_first_Animales y Mascotas,0.0,0.0,0.0,0.0,0.0
category_first_Antigüedades y Colecciones,0.0,0.0,0.0,0.0,0.0
"category_first_Arte, Librería y Mercería",0.0,0.0,0.0,0.0,0.0
category_first_Bebés,2.0,6.406566619873047,1267.3671875,12.813133239746094,2534.734375
category_first_Belleza y Cuidado Personal,8.0,7.546281337738037,985.3591918945312,60.3702507019043,7882.87353515625
category_first_Celulares y Telefonía,0.0,0.0,0.0,0.0,0.0
category_first_Celulares y Teléfonos,2.0,17.033979415893555,320.54949951171875,34.06795883178711,641.0989990234375
category_first_Computación,4.0,22.344104766845703,3485.54931640625,89.37641906738281,13942.197265625
category_first_Consolas y Videojuegos,4.0,11.610443115234375,1972.8123779296875,46.4417724609375,7891.24951171875
category_first_Cámaras y Accesorios,0.0,0.0,0.0,0.0,0.0
category_first_Deportes y Fitness,8.0,10.008162498474121,1327.9061279296875,80.06529998779297,10623.2490234375
category_first_Electrodomésticos,0.0,0.0,0.0,0.0,0.0
category_first_Electrodomésticos y Aires Ac.,1.0,4.846303939819336,194.49118041992188,4.846303939819336,194.49118041992188
"category_first_Electrónica, Audio y Video",20.0,24.194114685058594,2386.72509765625,483.8822937011719,47734.5
category_first_Eletrodomésticos,0.0,0.0,0.0,0.0,0.0
category_first_Esportes e Fitness,0.0,0.0,0.0,0.0,0.0
category_first_Herramientas y Construcción,5.0,5.209226131439209,186.385498046875,26.046131134033203,931.927490234375
"category_first_Hogar, Muebles y Jardín",11.0,7.6124587059021,518.1141357421875,83.73704528808594,5699.25537109375
category_first_Industrias y Oficinas,0.0,0.0,0.0,0.0,0.0
category_first_Instrumentos Musicales,16.0,9.551315307617188,6319.21923828125,152.821044921875,101107.5078125
category_first_Joyas y Relojes,0.0,0.0,0.0,0.0,0.0
category_first_Juegos y Juguetes,16.0,9.240696907043457,2602.441650390625,147.8511505126953,41639.06640625
"category_first_Libros, Revistas y Comics",0.0,0.0,0.0,0.0,0.0
"category_first_Música, Películas y Series",0.0,0.0,0.0,0.0,0.0
category_first_Otras categorías,0.0,0.0,0.0,0.0,0.0
category_first_Ropa y Accesorios,4.0,9.715036392211914,504.8598327636719,38.860145568847656,2019.4393310546875
"category_first_Ropa, Bolsas y Calzado",0.0,0.0,0.0,0.0,0.0
category_first_Salud y Equipamiento Médico,2.0,6.037184715270996,2613.955322265625,12.074369430541992,5227.91064453125
"category_first_Souvenirs, Cotillón y Fiestas",0.0,0.0,0.0,0.0,0.0
listing_type_id_gold_pro,27.0,7.332333087921143,537.5530395507812,197.97299194335938,14513.931640625
listing_type_id_gold_special,12.0,7.157567501068115,691.3984985351562,85.89080810546875,8296.7822265625
logistic_type_cross_docking,16.0,7.593454837799072,445.89093017578125,121.49527740478516,7134.2548828125
logistic_type_custom,2.0,20.41404151916504,3561.42724609375,40.82808303833008,7122.8544921875
logistic_type_default,0.0,0.0,0.0,0.0,0.0
logistic_type_drop_off,7.0,4.963071346282959,428.6441345214844,34.74150085449219,3000.509033203125
logistic_type_fulfillment,13.0,8.034802436828613,1297.7850341796875,104.45243072509766,16871.205078125
logistic_type_not_specified,4.0,12.195435523986816,2862.474609375,48.781742095947266,11449.8984375
logistic_type_xd_drop_off,10.0,8.989339828491211,3598.104736328125,89.89339447021484,35981.046875
platform_android,122.0,15.576279640197754,1547.281982421875,1900.30615234375,188768.40625
platform_desktop,190.0,55.8759880065918,3669.459228515625,10616.4375,697197.25
platform_ios,21.0,12.452000617980957,536.8492431640625,261.49200439453125,11273.833984375
platform_mobile,25.0,14.647696495056152,624.615478515625,366.1924133300781,15615.38671875
category_last_A Carbón,0.0,0.0,0.0,0.0,0.0
category_last_A Combustible,0.0,0.0,0.0,0.0,0.0
category_last_A Combustión,0.0,0.0,0.0,0.0,0.0
category_last_A Gas,0.0,0.0,0.0,0.0,0.0
category_last_Abanicos,0.0,0.0,0.0,0.0,0.0
category_last_Ablandadores de Agua,0.0,0.0,0.0,0.0,0.0
category_last_Abrochadoras,0.0,0.0,0.0,0.0,0.0
category_last_Accesorios,0.0,0.0,0.0,0.0,0.0
category_last_Aceite de Motor,0.0,0.0,0.0,0.0,0.0
category_last_Aceites,0.0,0.0,0.0,0.0,0.0
category_last_Aceites de Motor,0.0,0.0,0.0,0.0,0.0
category_last_Acetos Balsámicos,0.0,0.0,0.0,0.0,0.0
category_last_Acolchados,0.0,0.0,0.0,0.0,0.0
category_last_Acordeones,0.0,0.0,0.0,0.0,0.0
category_last_Acrílicos,0.0,0.0,0.0,0.0,0.0
category_last_Acústicas,0.0,0.0,0.0,0.0,0.0
category_last_Adaptadores,1.0,11.779052734375,3970.809814453125,11.779052734375,3970.809814453125
category_last_Adaptadores Wifi,0.0,0.0,0.0,0.0,0.0
category_last_Adaptadores de Enchufes,0.0,0.0,0.0,0.0,0.0
category_last_Adaptadores de Taladro,0.0,0.0,0.0,0.0,0.0
category_last_Adhesivos para Construcción,0.0,0.0,0.0,0.0,0.0
category_last_Adornos,0.0,0.0,0.0,0.0,0.0
category_last_Aerosoles,0.0,0.0,0.0,0.0,0.0
category_last_Aerógrafo,0.0,0.0,0.0,0.0,0.0
category_last_Afeitadoras Descartables,0.0,0.0,0.0,0.0,0.0
category_last_Afeitadoras Eléctricas,0.0,0.0,0.0,0.0,0.0
category_last_Afiladores,0.0,0.0,0.0,0.0,0.0
category_last_Afiladores Eléctricos,0.0,0.0,0.0,0.0,0.0
category_last_Afiladores Manuales,0.0,0.0,0.0,0.0,0.0
category_last_Afinadores,0.0,0.0,0.0,0.0,0.0
category_last_Agarraderas para Cocina,0.0,0.0,0.0,0.0,0.0
category_last_Agarres para Gimnasio,0.0,0.0,0.0,0.0,0.0
category_last_Agendas y Diarios Íntimos,0.0,0.0,0.0,0.0,0.0
category_last_Agitadores,0.0,0.0,0.0,0.0,0.0
category_last_Aguas Minerales,0.0,0.0,0.0,0.0,0.0
category_last_Agujas,0.0,0.0,0.0,0.0,0.0
category_last_Ahuyentadores Ultrasónicos,0.0,0.0,0.0,0.0,0.0
category_last_Airbags,0.0,0.0,0.0,0.0,0.0
category_last_Aireadores de Vinos,0.0,0.0,0.0,0.0,0.0
category_last_Aires Acondicionados,0.0,0.0,0.0,0.0,0.0
category_last_Alacenas de Cocina,0.0,0.0,0.0,0.0,0.0
category_last_Alambrados,0.0,0.0,0.0,0.0,0.0
category_last_Alambres,0.0,0.0,0.0,0.0,0.0
category_last_Alambres de Púa,0.0,0.0,0.0,0.0,0.0
category_last_Alambres para Soldar,0.0,0.0,0.0,0.0,0.0
category_last_Alargues,0.0,0.0,0.0,0.0,0.0
category_last_Alarmas para Automotores,0.0,0.0,0.0,0.0,0.0
category_last_Alarmas para Motos,0.0,0.0,0.0,0.0,0.0
category_last_Alarmas y Sensores,0.0,0.0,0.0,0.0,0.0
category_last_Alcoholes Etílicos,0.0,0.0,0.0,0.0,0.0
category_last_Alcoholes en Aerosol,0.0,0.0,0.0,0.0,0.0
category_last_Alcoholes en Gel,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras Antigolpes,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras De Baile,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras Sanitarias,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras de Juego,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras para Baño,0.0,0.0,0.0,0.0,0.0
category_last_Alfombras y Carpetas,0.0,0.0,0.0,0.0,0.0
category_last_Alforjas,0.0,0.0,0.0,0.0,0.0
"category_last_Alforjas, Bolsos y Cartucheras",0.0,0.0,0.0,0.0,0.0
category_last_Algodones,0.0,0.0,0.0,0.0,0.0
category_last_Alianzas,0.0,0.0,0.0,0.0,0.0
category_last_Alicates,0.0,0.0,0.0,0.0,0.0
category_last_Alimento,0.0,0.0,0.0,0.0,0.0
category_last_Alimentos de Juguete,0.0,0.0,0.0,0.0,0.0
category_last_All In One,0.0,0.0,0.0,0.0,0.0
